country,country_code,year,maternal_mortality,skilled_birth_attendance,adolescent_fertility
Slovenia,SVN,1989,15,99.6,26.848
Solomon Islands,SLB,2015,146,86.2,59.461
Solomon Islands,SLB,2007,163,85.5,64.372
Solomon Islands,SLB,1999,164,85,80.4
Solomon Islands,SLB,1994,170,83.5,93.217
Solomon Islands,SLB,1990,184,85,100.764
"Somalia, Fed. Rep.",SOM,2019,656,31.9,124.669
"Somalia, Fed. Rep.",SOM,2006,1085,9.4,138.244
"Somalia, Fed. Rep.",SOM,2002,1121,24.8,132.316
"Somalia, Fed. Rep.",SOM,2000,1150,19.3,129.071
"Somalia, Fed. Rep.",SOM,1999,1170,19.3,127.655
South Africa,ZAF,2016,141,96.7,61.613
South Africa,ZAF,2008,272,94.3,55.677
South Africa,ZAF,2004,259,91.2,57.215
South Africa,ZAF,2003,245,91.2,59.768
South Africa,ZAF,1998,152,84.4,72.034
South Africa,ZAF,1995,125,82,82.277
South Africa,ZAF,1994,133,82,84.261
South Sudan,SSD,2020,729,39.7,100.555
South Sudan,SSD,2010,776,19.4,115.108
South Sudan,SSD,2006,1005,9.7,116.261
Spain,ESP,2020,4,99.9,5.23
Spain,ESP,2019,3,99.9,5.867
Spain,ESP,2018,3,99.9,6.243
Spain,ESP,2015,4,99.9,7.666
Sri Lanka,LKA,2016,22,99.5,16.485
Sri Lanka,LKA,2014,23,99.95,18.08
Sri Lanka,LKA,2007,31,98.6,21.706
Sri Lanka,LKA,2000,39,96,29.844
Sri Lanka,LKA,1993,51,94.1,28.239
Sri Lanka,LKA,1987,64,87.2,31.656
St. Kitts and Nevis,KNA,2020,80,100,38.711
St. Kitts and Nevis,KNA,2019,74,100,39.623
St. Kitts and Nevis,KNA,2018,78,100,40.39
St. Kitts and Nevis,KNA,2015,76,100,40.355
St. Kitts and Nevis,KNA,2014,82,100,40.821
St. Kitts and Nevis,KNA,2013,82,100,41.414
St. Kitts and Nevis,KNA,2012,88,100,42.641
St. Kitts and Nevis,KNA,2011,90,100,43.613
St. Kitts and Nevis,KNA,2010,92,100,44.378
St. Kitts and Nevis,KNA,2009,93,100,45.981
St. Kitts and Nevis,KNA,2008,95,100,47.345
St. Kitts and Nevis,KNA,2007,96,100,48.832
St. Kitts and Nevis,KNA,2006,99,100,51.674
St. Kitts and Nevis,KNA,2005,102,100,54.251
St. Kitts and Nevis,KNA,2004,104,100,56.964
St. Kitts and Nevis,KNA,2002,115,99.5,63.244
St. Kitts and Nevis,KNA,2000,143,99.4,68.163
St. Kitts and Nevis,KNA,1998,193,99.4,70.564
St. Kitts and Nevis,KNA,1995,204,100,69.343
St. Lucia,LCA,2019,43,100,30.831
St. Lucia,LCA,2018,41,100,32.127
St. Lucia,LCA,2017,43,100,33.812
St. Lucia,LCA,2015,46,99.1,36.925
St. Lucia,LCA,2014,49,99.1,38.71
St. Lucia,LCA,2012,55,98.7,38.449
St. Lucia,LCA,2010,56,98.5,44.045
St. Lucia,LCA,2008,55,100,45.705
St. Lucia,LCA,2007,55,100,48.083
St. Lucia,LCA,2006,53,97.9,50.973
St. Lucia,LCA,2005,55,100,53.419
St. Lucia,LCA,2004,54,100,55.538
St. Lucia,LCA,2003,56,99,57.288
St. Lucia,LCA,2002,62,98,58.92
St. Lucia,LCA,2000,83,100,58.539
St. Lucia,LCA,1997,89,99.7,72.836
St. Lucia,LCA,1995,60,100,88.781
St. Vincent and the Grenadines,VCT,2016,52,98.6,58.779
St. Vincent and the Grenadines,VCT,2015,59,98.7,61.413
St. Vincent and the Grenadines,VCT,2014,64,99.9,64.473
St. Vincent and the Grenadines,VCT,2013,73,99,64.05
St. Vincent and the Grenadines,VCT,2012,61,99.2,64.686
St. Vincent and the Grenadines,VCT,2011,59,98.8,64.109
St. Vincent and the Grenadines,VCT,2010,59,98.3,66.966
St. Vincent and the Grenadines,VCT,2009,56,98.9,68.471
St. Vincent and the Grenadines,VCT,2008,56,99.2,66.564
St. Vincent and the Grenadines,VCT,2007,54,100,65.352
St. Vincent and the Grenadines,VCT,2005,55,100,68.195
St. Vincent and the Grenadines,VCT,2004,56,100,69.594
St. Vincent and the Grenadines,VCT,2002,62,100,74.328
St. Vincent and the Grenadines,VCT,2001,64,100,74.035
St. Vincent and the Grenadines,VCT,2000,68,100,74.729
St. Vincent and the Grenadines,VCT,1999,72,99.3,73.542
St. Vincent and the Grenadines,VCT,1998,77,98,73.67
St. Vincent and the Grenadines,VCT,1995,80,100,82.525
Sudan,SDN,2014,309,77.7,80.055
Sudan,SDN,2010,370,72.5,88.897
Sudan,SDN,2006,485,49.2,95.978
Sudan,SDN,1990,840,68.5,91.076
Suriname,SUR,2018,101,98.4,53.57
Suriname,SUR,2015,115,90,59.856
Suriname,SUR,2010,134,90,67.92
Suriname,SUR,2009,147,90,70.177
Suriname,SUR,2008,161,90,72.16
Suriname,SUR,2007,173,90,73.801
Suriname,SUR,2006,187,86.5,73.87
Suriname,SUR,2004,219,90,76.617
Suriname,SUR,2002,253,90,83.099
Suriname,SUR,2000,282,70.9,81.953
Suriname,SUR,1995,331,80,88.856
Sweden,SWE,1987,8,100,11.215
Switzerland,CHE,2006,8,100,4.516
Syrian Arab Republic,SYR,2009,19,96.2,51.31
Syrian Arab Republic,SYR,2006,20,91.5,52.837
Syrian Arab Republic,SYR,2004,22,89.7,53.747
Syrian Arab Republic,SYR,1993,32,76.9,78.214
Tajikistan,TJK,2017,17,94.8,39.046
Tajikistan,TJK,2015,20,98,49.401
Tajikistan,TJK,2014,21,90.3,48.899
Tajikistan,TJK,2013,21,90.8,47.618
Tajikistan,TJK,2012,23,87.4,45.94
Tajikistan,TJK,2011,25,89,44.865
Tajikistan,TJK,2010,26,87.7,41.548
Tajikistan,TJK,2009,29,87.1,38.879
Tajikistan,TJK,2008,29,85,35.75
Tajikistan,TJK,2007,30,88.4,33.374
Tajikistan,TJK,2006,35,78.3,33.161
Tajikistan,TJK,2005,36,82.4,34.091
Tajikistan,TJK,2004,36,75.1,35.995
Tajikistan,TJK,2003,39,88.1,36.589
Tajikistan,TJK,2002,48,88.7,39.36
Tajikistan,TJK,2001,58,81.1,42.835
Tajikistan,TJK,2000,58,70.7,44.212
Tajikistan,TJK,1999,64,66.6,46.494
Tajikistan,TJK,1998,72,74.1,56.562
Tajikistan,TJK,1997,76,72.6,60.481
Tajikistan,TJK,1996,82,79,63.483
Tajikistan,TJK,1995,81,80.9,74.769
Tajikistan,TJK,1994,85,82.6,68.235
Tajikistan,TJK,1991,79,90.3,49.386
Tajikistan,TJK,1989,85,93.6,42.121
Tanzania,TZA,2016,396,63.5,122.395
Tanzania,TZA,2012,448,61.4,115.816
Tanzania,TZA,2010,486,48.9,117.292
Tanzania,TZA,2005,350,43.4,132.386
Tanzania,TZA,2004,365,43.4,132.137
Tanzania,TZA,1999,635,43.8,131.661
Tanzania,TZA,1996,775,46.7,132.814
Tanzania,TZA,1992,864,52.2,131.039
Thailand,THA,2019,34,99.1,31.21
Thailand,THA,2016,34,99.1,44.497
Thailand,THA,2013,35,99.6,52.618
Thailand,THA,2012,36,99.6,54.005
Thailand,THA,2009,37,99.4,52.655
Thailand,THA,2006,38,96.9,51.23
Thailand,THA,2000,49,99.3,39.273
Thailand,THA,1987,72,65.9,49.182
Timor-Leste,TLS,2016,287,56.7,34.913
Timor-Leste,TLS,2010,439,29.3,45.984
Timor-Leste,TLS,2003,714,18.4,56.191
Timor-Leste,TLS,2002,724,24,60.075
Timor-Leste,TLS,1997,1166,25.8,61.294
Togo,TGO,2017,443,69.4,83.278
Togo,TGO,2014,490,44.6,84.943
Togo,TGO,2010,497,43.9,86.915
Togo,TGO,2006,453,52.4,86.185
Togo,TGO,2003,431,60.8,92.15
Togo,TGO,2000,496,35.4,96.3
Togo,TGO,1998,570,50.5,92.707
Togo,TGO,1988,628,45.7,109.845
Tonga,TON,2019,73,98.3,25.256
Tonga,TON,2012,83,95.5,24.277
Tonga,TON,2010,85,99,23.131
Tonga,TON,2009,91,98.1,23.1
Tonga,TON,2008,88,97,22.893
Tonga,TON,2007,88,98,22.868
Tonga,TON,2006,89,98,22.773
Tonga,TON,2005,92,96.1,23.055
Tonga,TON,2004,92,98,22.417
Tonga,TON,2003,95,97,21.506
Tonga,TON,2002,98,95.1,21.964
Tonga,TON,2001,98,95.3,22.809
Tonga,TON,2000,100,95,23.888
Tonga,TON,1999,99,96,25.581
Tonga,TON,1991,134,92,30.478
Tonga,TON,1990,138,94,32.345
Trinidad and Tobago,TTO,2017,51,100,38.585
Trinidad and Tobago,TTO,2016,51,100,38.876
Trinidad and Tobago,TTO,2015,50,100,39.044
Trinidad and Tobago,TTO,2014,50,100,39.416
Trinidad and Tobago,TTO,2013,50,100,39.676
Trinidad and Tobago,TTO,2012,51,100,39.933
Trinidad and Tobago,TTO,2011,53,98,40.013
Trinidad and Tobago,TTO,2008,55,99.5,39.537
Trinidad and Tobago,TTO,2006,58,96.9,38.217
Trinidad and Tobago,TTO,2004,63,99.7,37.927
Trinidad and Tobago,TTO,2003,67,99.7,38.447
Trinidad and Tobago,TTO,2002,69,98.7,38.68
Trinidad and Tobago,TTO,2001,72,99.5,39.684
Trinidad and Tobago,TTO,2000,76,96,40.07
Trinidad and Tobago,TTO,1999,78,98.4,40.432
Trinidad and Tobago,TTO,1998,79,98.2,40.047
Trinidad and Tobago,TTO,1997,82,98.4,40.957
Trinidad and Tobago,TTO,1996,84,98,42.888
Trinidad and Tobago,TTO,1995,85,97.5,45.042
Trinidad and Tobago,TTO,1994,84,98,48.759
Trinidad and Tobago,TTO,1993,85,98.3,53.258
Trinidad and Tobago,TTO,1987,86,97.7,72.779
Tunisia,TUN,2018,38,99.5,6.63
Tunisia,TUN,2012,43,73.6,7.45
Tunisia,TUN,2006,48,94.6,5.902
Tunisia,TUN,2001,55,89.9,6.527
Tunisia,TUN,2000,56,89.9,7.034
Tunisia,TUN,1995,73,81,12.791
Tunisia,TUN,1988,96,69,22.527
Turkiye,TUR,2019,17,97,17.535
Turkiye,TUR,2018,17,99.2,19.835
Turkiye,TUR,2017,18,98,22.332
Turkiye,TUR,2015,19,99,25.639
Turkiye,TUR,2014,20,97.4,27.56
Turkiye,TUR,2013,20,97.4,28.299
Turkiye,TUR,2009,23,95,37.189
Turkiye,TUR,2008,24,91.3,38.361
Turkiye,TUR,2007,25,89.3,39.705
Turkiye,TUR,2004,28,83,42.571
Turkiye,TUR,2003,29,83,43.112
Turkiye,TUR,1998,34,80.6,57.287
Turkiye,TUR,1993,39,76,60.289
Turkmenistan,TKM,2019,5,100,25.683
Turkmenistan,TKM,2016,6,100,28.337
Turkmenistan,TKM,2006,14,99.5,21.678
Turkmenistan,TKM,2005,15,99.7,21.338
Turkmenistan,TKM,2004,17,98.5,20.841
Turkmenistan,TKM,2003,18,99.5,21.509
Turkmenistan,TKM,2002,20,97.2,21.753
Turkmenistan,TKM,2000,25,97.2,24.395
Turkmenistan,TKM,1996,46,95.8,25.009
Tuvalu,TUV,2020,206,99.5,28.779
Tuvalu,TUV,2007,222,93.1,32.644
Tuvalu,TUV,2002,234,100,35.526
Tuvalu,TUV,2000,237,100,37.659
Tuvalu,TUV,1997,249,99,34.206
Tuvalu,TUV,1990,291,95,44.14
Uganda,UGA,2016,272,74.2,121.568
Uganda,UGA,2011,295,57.4,132.519
Uganda,UGA,2006,409,41.9,146.457
Uganda,UGA,2001,440,39,164.968
Uganda,UGA,2000,475,36,169.238
Uganda,UGA,1995,514,37.8,183.113
Uganda,UGA,1989,609,38.1,177.932
Ukraine,UKR,2014,19,99.9,27.66
Ukraine,UKR,2013,20,99.9,28.739
Ukraine,UKR,2012,20,99,29.97
Ukraine,UKR,2011,20,99.9,29.841
Ukraine,UKR,2010,21,99.9,30.642
Ukraine,UKR,2009,24,99.9,33.17
Ukraine,UKR,2008,26,99.9,33.716
Ukraine,UKR,2007,27,98.7,31.913
Ukraine,UKR,2006,27,99.9,31.007
Ukraine,UKR,2005,27,99.8,29.578
Ukraine,UKR,2004,27,99.9,29.595
Ukraine,UKR,2003,28,99.9,28.834
Ukraine,UKR,2002,28,99.9,28.679
Ukraine,UKR,2001,30,99.9,29.048
Ukraine,UKR,2000,32,99.9,31.593
Ukraine,UKR,1999,34,99.1,34.535
Ukraine,UKR,1998,37,99.9,40.673
Ukraine,UKR,1997,41,99.9,45.468
Ukraine,UKR,1996,45,99.9,50.325
Ukraine,UKR,1995,46,99.89,54.474
Ukraine,UKR,1994,45,99.88,56.869
Ukraine,UKR,1993,42,99.9,58.184
Ukraine,UKR,1992,40,99.9,59.23
Ukraine,UKR,1991,40,99.9,59.46
Ukraine,UKR,1990,40,99.9,59.257
Ukraine,UKR,1989,42,99.9,57.714
United Arab Emirates,ARE,2018,3,99.2,3.74
United Arab Emirates,ARE,2015,3,99.9,5.432
United Arab Emirates,ARE,2014,3,99.9,6.326
United Arab Emirates,ARE,2013,4,99.9,7.941
United Arab Emirates,ARE,2008,3,100,13.084
United Arab Emirates,ARE,2004,4,100,25.461
United Arab Emirates,ARE,2003,5,100,25.441
United Arab Emirates,ARE,1995,18,99.2,36.009
United Arab Emirates,ARE,1990,19,99.1,51.026
United Kingdom,GBR,1998,10,99,30.356
United States,USA,2020,22,99.1,14.719
United States,USA,2019,18,99,16.202
United States,USA,2018,18,99.1,17.164
United States,USA,2017,18,99.1,18.491
United States,USA,2016,18,99.1,20.08
United States,USA,2015,17,99.1,22.031
United States,USA,2014,17,98.5,24.192
United States,USA,2013,16,99.2,26.528
United States,USA,2012,16,99.3,29.387
United States,USA,2011,15,99.3,31.723
United States,USA,2010,15,99.4,34.856
United States,USA,2009,15,99.3,38.137
United States,USA,2008,14,99.3,40.059
United States,USA,2007,13,99.3,40.808
United States,USA,2006,13,99.4,40.349
United States,USA,2005,13,99.4,39.473
United States,USA,2004,13,99.3,40.173
United States,USA,2003,13,99.3,40.987
United States,USA,2002,13,99.5,42.602
United States,USA,2001,13,99.4,44.958
United States,USA,2000,12,99.4,47.501
United States,USA,1999,12,99.4,48.664
United States,USA,1998,11,99.4,49.861
United States,USA,1997,11,99.4,50.691
United States,USA,1996,11,99.4,52.583
United States,USA,1995,12,99.4,54.794
United States,USA,1994,11,99.4,56.951
United States,USA,1993,12,99.4,58.309
United States,USA,1992,11,99.3,59.872
United States,USA,1991,12,99.2,61.656
United States,USA,1990,12,99.2,61.513
United States,USA,1989,12,99,58.839
Uruguay,URY,2020,20,100,29.59
Uruguay,URY,2019,16,100,33.065
Uruguay,URY,2018,16,100,37.762
Uruguay,URY,2017,16,100,44.28
Uruguay,URY,2016,16,100,50.844
Uruguay,URY,2015,16,99.9,55.906
Uruguay,URY,2014,16,99.9,58.229
Uruguay,URY,2013,16,98.2,60.544
Uruguay,URY,2012,16,99.9,60.353
Uruguay,URY,2011,17,99.5,59.107
Uruguay,URY,2010,17,99.8,59.538
Uruguay,URY,2009,18,99.7,59.576
Uruguay,URY,2008,19,99.6,59.706
Uruguay,URY,2007,19,98.6,59.798
Uruguay,URY,2006,20,99.9,59.998
Uruguay,URY,2005,20,99.9,60.259
Uruguay,URY,2004,21,99.5,59.756
Uruguay,URY,2003,23,99.7,61.616
Uruguay,URY,2002,23,99.7,65.52
Uruguay,URY,2001,24,99.6,66.866
Uruguay,URY,2000,23,99.7,67.08
Uruguay,URY,1999,24,99.8,68.499
Uruguay,URY,1998,25,99,65.01
Uruguay,URY,1997,27,98.4,66.115
Uruguay,URY,1996,28,98,66.431
Uruguay,URY,1995,29,98,66.393
Uruguay,URY,1994,30,98.2,65.624
Uruguay,URY,1993,31,98.3,63.546
Uruguay,URY,1992,33,99,62.78
Uruguay,URY,1991,33,99.3,62.257
Uruguay,URY,1990,35,99.4,62.315
Uzbekistan,UZB,2022,27,99,34.418
Uzbekistan,UZB,2020,29,100,21.316
Uzbekistan,UZB,2019,29,100,22.159
Uzbekistan,UZB,2018,29,100,21.987
Uzbekistan,UZB,2017,30,100,21.057
Uzbekistan,UZB,2016,31,100,22.953
Uzbekistan,UZB,2015,31,100,25.309
Uzbekistan,UZB,2014,32,100,26.314
Uzbekistan,UZB,2013,32,100,25.609
Uzbekistan,UZB,2012,33,100,26.234
Uzbekistan,UZB,2011,33,100,24.804
Uzbekistan,UZB,2010,34,100,22.103
Uzbekistan,UZB,2009,34,100,18.443
Uzbekistan,UZB,2008,35,100,11.733
Uzbekistan,UZB,2007,37,100,10.074
Uzbekistan,UZB,2006,38,99.6,9.426
Uzbekistan,UZB,2005,39,100,9.744
Uzbekistan,UZB,2004,39,100,10.448
Uzbekistan,UZB,2003,40,100,12.314
Uzbekistan,UZB,2002,41,100,14.904
Uzbekistan,UZB,2001,42,100,17.798
Uzbekistan,UZB,2000,42,94.9,21.589
Uzbekistan,UZB,1999,43,100,26.929
Uzbekistan,UZB,1998,42,100,31.387
Uzbekistan,UZB,1997,42,100,45.273
Uzbekistan,UZB,1996,44,97.5,54.433
Vanuatu,VUT,2013,110,89.4,75.737
Vanuatu,VUT,2007,120,74,73.344
Vanuatu,VUT,2006,123,92.9,73.711
Vanuatu,VUT,2005,127,92,74.37
Vanuatu,VUT,2003,131,84,76.35
Vanuatu,VUT,2000,133,88,77.999
Vanuatu,VUT,1999,146,88,76.457
Vanuatu,VUT,1995,131,89.1,79.434
Vanuatu,VUT,1994,131,87,87.899
Vanuatu,VUT,1990,151,79,85.504
"Venezuela, RB",VEN,2018,205,98.7,75.503
"Venezuela, RB",VEN,2017,195,99.1,79.917
"Venezuela, RB",VEN,2016,162,99.3,84.191
"Venezuela, RB",VEN,2015,136,99.3,88.531
"Venezuela, RB",VEN,2014,133,99.5,91.955
"Venezuela, RB",VEN,2013,123,99.2,94.666
"Venezuela, RB",VEN,2012,113,96,96.031
"Venezuela, RB",VEN,2011,104,98.1,96.087
"Venezuela, RB",VEN,2003,97,95,91.048
"Venezuela, RB",VEN,2000,86,94,96.707
"Venezuela, RB",VEN,1997,82,95.3,96.256
Viet Nam,VNM,2021,52,96.1,34.666
Viet Nam,VNM,2014,59,93.8,42.212
Viet Nam,VNM,2011,61,91.9,36.934
Viet Nam,VNM,2006,67,83.8,27.258
Viet Nam,VNM,2002,74,85,28.956
Viet Nam,VNM,2000,83,58.8,29.936
Viet Nam,VNM,1997,104,77.1,38.13
West Bank and Gaza,PSE,2020,20,99.7,38.946
West Bank and Gaza,PSE,2014,29,99.6,48.213
West Bank and Gaza,PSE,2010,42,99,50.665
West Bank and Gaza,PSE,2006,51,96.6,55.554
West Bank and Gaza,PSE,2005,52,97,61.218
West Bank and Gaza,PSE,2004,55,98.3,67.843
West Bank and Gaza,PSE,2000,59,97.4,91.456
West Bank and Gaza,PSE,1996,61,94.9,106.059
"Yemen, Rep.",YEM,2013,135,44.7,72.506
"Yemen, Rep.",YEM,2012,137,34.4,72.011
"Yemen, Rep.",YEM,2006,171,35.7,100.079
"Yemen, Rep.",YEM,2003,205,26.8,106.198
"Yemen, Rep.",YEM,1997,271,21.7,124.727
"Yemen, Rep.",YEM,1992,330,34.3,157.344
Zambia,ZMB,2019,103,80.4,122.903
Zambia,ZMB,2018,117,80.4,124.398
Zambia,ZMB,2014,174,63.3,128.961
Zambia,ZMB,2007,324,45.2,137.241
Zambia,ZMB,2002,274,42.1,147.335
Zambia,ZMB,1999,378,45.3,156.299
Zambia,ZMB,1997,403,46.5,151.322
Zambia,ZMB,1996,433,46,153.57
Zambia,ZMB,1992,581,49.8,150.201
Zimbabwe,ZWE,2019,388,86,98.733
Zimbabwe,ZWE,2015,428,78.1,102.702
Zimbabwe,ZWE,2014,468,80,105.623
Zimbabwe,ZWE,2011,564,66.2,112.391
Zimbabwe,ZWE,2009,540,60.2,110.451
Zimbabwe,ZWE,2006,480,68.5,105.255
Zimbabwe,ZWE,1999,399,72.4,102.382
Zimbabwe,ZWE,1994,332,69.2,97.52
Zimbabwe,ZWE,1988,431,69.6,103.556
